size	colour	x	y	key	clickSelects	showSelected2	PANEL	fill
2.13402561685752	#00C094	6.928	51.6086829268293	United Arab Emirates	United Arab Emirates	Middle East & North Africa	3	#00C094
3.45308249305848	#A58AFF	7.7	31.1320975609756	Afghanistan	Afghanistan	South Asia	3	#A58AFF
2.62175786308814	#C49A00	5.951	62.2543658536585	Albania	Albania	Europe & Central Asia	3	#C49A00
2.66820664409663	#C49A00	4.55	65.8539512195122	Armenia	Armenia	Europe & Central Asia	3	#C49A00
3.09243684406456	#FB61D7	7.316	32.9853414634146	Angola	Angola	Sub-Saharan Africa	3	#FB61D7
4.22885495068755	#53B400	3.109	65.1751463414634	Argentina	Argentina	Latin America & Caribbean	3	#53B400
3.30198995058098	#C49A00	2.69	68.5856097560976	Austria	Austria	Europe & Central Asia	3	#C49A00
3.57274154917768	#F8766D	3.453	70.8170731708781	Australia	Australia	East Asia & Pacific	3	#F8766D
2.09710647241443	#53B400	4.82	65.5693658536586	Aruba	Aruba	Latin America & Caribbean	3	#53B400
2.96744618436754	#C49A00	5.571	60.836243902439	Azerbaijan	Azerbaijan	Europe & Central Asia	3	#C49A00
2.89059334554967	#C49A00	4.052	60.2073658536586	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia	3	#C49A00
2.22805984772528	#53B400	4.333	64.4752682926829	Barbados	Barbados	Latin America & Caribbean	3	#53B400
5.45504451994454	#A58AFF	6.724	47.7585365853659	Bangladesh	Bangladesh	South Asia	3	#A58AFF
3.48418961170345	#C49A00	2.575	69.7019512195122	Belgium	Belgium	Europe & Central Asia	3	#C49A00
3.07724989416466	#FB61D7	6.291	35.8631463414634	Burkina Faso	Burkina Faso	Sub-Saharan Africa	3	#FB61D7
3.37579058345791	#C49A00	2.308	69.2475609756098	Bulgaria	Bulgaria	Europe & Central Asia	3	#C49A00
2.18850406710874	#00C094	7.09	51.7798048780488	Bahrain	Bahrain	Middle East & North Africa	3	#00C094
2.81737919185099	#FB61D7	6.801	41.2365365853659	Burundi	Burundi	Sub-Saharan Africa	3	#FB61D7
2.76322131551809	#FB61D7	6.282	35.5763414634146	Benin	Benin	Sub-Saharan Africa	3	#FB61D7
2.12682601879719	#F8766D	6.487	62.3364634146342	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific	3	#F8766D
2.89701522358148	#53B400	6.696	42.6520487804878	Bolivia	Bolivia	Latin America & Caribbean	3	#53B400
6.18796477754215	#53B400	6.21	54.4922195121951	Brazil	Brazil	Latin America & Caribbean	3	#53B400
2.15087781873093	#53B400	4.495	63.2249268292683	Bahamas, The	Bahamas, The	Latin America & Caribbean	3	#53B400
2.22448948862999	#A58AFF	6.67	37.0762682926829	Bhutan	Bhutan	South Asia	3	#A58AFF
2.35030717248127	#FB61D7	6.615	50.537243902439	Botswana	Botswana	Sub-Saharan Africa	3	#FB61D7
3.40445626403352	#C49A00	2.67	68.2738780487805	Belarus	Belarus	Europe & Central Asia	3	#C49A00
2.13621986267996	#53B400	6.5	60.8958536585366	Belize	Belize	Latin America & Caribbean	3	#53B400
4.07685918382404	#00B6EB	3.811	71.1331707317073	Canada	Canada	North America	3	#00B6EB
3.91623719026902	#FB61D7	6.001	41.0180487804878	Congo, Dem. Rep.	Congo, Dem. Rep.	Sub-Saharan Africa	3	#FB61D7
2.59898491756401	#FB61D7	5.84	36.4826341463415	Central African Republic	Central African Republic	Sub-Saharan Africa	3	#FB61D7
2.49059893423331	#FB61D7	5.88	48.5835609756098	Congo, Rep.	Congo, Rep.	Sub-Saharan Africa	3	#FB61D7
3.13165358901555	#C49A00	2.336	71.3134146341463	Switzerland	Switzerland	Europe & Central Asia	3	#C49A00
2.91320745171349	#FB61D7	7.351	40.4241951219512	Cote d'Ivoire	Cote d'Ivoire	Sub-Saharan Africa	3	#FB61D7
3.35652746574665	#53B400	5.582	57.0162926829268	Chile	Chile	Latin America & Caribbean	3	#53B400
