size	colour	x	y	key	clickSelects	showSelected2	PANEL	fill
2.18488171129578	#00C094	6.816	58.3916585365854	United Arab Emirates	United Arab Emirates	Middle East & North Africa	3	#00C094
3.55064199492162	#A58AFF	7.7	33.3967317073171	Afghanistan	Afghanistan	South Asia	3	#A58AFF
2.67876265573384	#C49A00	5.329	66.1000731707317	Albania	Albania	Europe & Central Asia	3	#C49A00
2.73717134468839	#C49A00	3.788	68.4093902439025	Armenia	Armenia	Europe & Central Asia	3	#C49A00
3.15263481452346	#FB61D7	7.422	35.391512195122	Angola	Angola	Sub-Saharan Africa	3	#FB61D7
4.3342373526016	#53B400	3.051	65.7409512195122	Argentina	Argentina	Latin America & Caribbean	3	#53B400
3.32715966996273	#C49A00	2.662	70.0458536585366	Austria	Austria	Europe & Central Asia	3	#C49A00
3.67476740930334	#F8766D	2.881	70.819512195122	Australia	Australia	East Asia & Pacific	3	#F8766D
2.10136226642208	#53B400	3.625	67.699	Aruba	Aruba	Latin America & Caribbean	3	#53B400
3.06364794422264	#C49A00	5.21	63.2672682926829	Azerbaijan	Azerbaijan	Europe & Central Asia	3	#C49A00
2.92748512465002	#C49A00	3.367	63.8224634146342	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia	3	#C49A00
2.23072787045106	#53B400	3.807	67.174243902439	Barbados	Barbados	Latin America & Caribbean	3	#53B400
5.77167743601682	#A58AFF	6.894	49.832243902439	Bangladesh	Bangladesh	South Asia	3	#A58AFF
3.51428150088404	#C49A00	2.53	70.7063414634146	Belgium	Belgium	Europe & Central Asia	3	#C49A00
3.12401663235448	#FB61D7	6.493	38.8508780487805	Burkina Faso	Burkina Faso	Sub-Saharan Africa	3	#FB61D7
3.4096007188612	#C49A00	2.03	71.2234146341464	Bulgaria	Bulgaria	Europe & Central Asia	3	#C49A00
2.20637827488599	#00C094	7.101	59.833512195122	Bahrain	Bahrain	Middle East & North Africa	3	#00C094
2.8698321101645	#FB61D7	6.801	43.0675853658537	Burundi	Burundi	Sub-Saharan Africa	3	#FB61D7
2.80169327744014	#FB61D7	6.588	37.5101219512195	Benin	Benin	Sub-Saharan Africa	3	#FB61D7
2.14920215875371	#F8766D	5.918	65.362	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific	3	#F8766D
2.9599757450486	#53B400	6.586	44.5239024390244	Bolivia	Bolivia	Latin America & Caribbean	3	#53B400
6.5717329066763	#53B400	5.658	57.059243902439	Brazil	Brazil	Latin America & Caribbean	3	#53B400
2.17788745389109	#53B400	3.893	65.2869512195122	Bahamas, The	Bahamas, The	Latin America & Caribbean	3	#53B400
2.24264762057731	#A58AFF	6.67	38.8856585365854	Bhutan	Bhutan	South Asia	3	#A58AFF
2.37967132906265	#FB61D7	6.698	52.6327073170732	Botswana	Botswana	Sub-Saharan Africa	3	#FB61D7
3.44660300933056	#C49A00	2.29	69.6619756097561	Belarus	Belarus	Europe & Central Asia	3	#C49A00
2.15073236193984	#53B400	6.379	64.0121707317073	Belize	Belize	Latin America & Caribbean	3	#53B400
4.19748711068264	#00B6EB	2.749	72.0043902439024	Canada	Canada	North America	3	#00B6EB
4.0741212029131	#FB61D7	6.111	42.4744878048781	Congo, Dem. Rep.	Congo, Dem. Rep.	Sub-Saharan Africa	3	#FB61D7
2.63405121244956	#FB61D7	5.945	39.273756097561	Central African Republic	Central African Republic	Sub-Saharan Africa	3	#FB61D7
2.53227386206596	#FB61D7	6.138	51.8817317073171	Congo, Rep.	Congo, Rep.	Sub-Saharan Africa	3	#FB61D7
3.19285456472258	#C49A00	2.472	72.3356097560976	Switzerland	Switzerland	Europe & Central Asia	3	#C49A00
3.02810476320418	#FB61D7	7.757	41.6504878048781	Cote d'Ivoire	Cote d'Ivoire	Sub-Saharan Africa	3	#FB61D7
3.45915107323496	#53B400	4.799	59.8456097560976	Chile	Chile	Latin America & Caribbean	3	#53B400
3.21418406528689	#FB61D7	6.043	44.158512195122	Cameroon	Cameroon	Sub-Saharan Africa	3	#FB61D7
15.3140953506986	#F8766D	5.914	54.2011219512195	China	China	East Asia & Pacific	3	#F8766D
4.14536546993286	#53B400	6.422	59.4480731707317	Colombia	Colombia	Latin America & Caribbean	3	#53B400
