size	colour	x	y	key	clickSelects	showSelected2	PANEL	fill
2.35324308848019	#00C094	6.009	66.1853902439024	United Arab Emirates	United Arab Emirates	Middle East & North Africa	3	#00C094
3.7383848947879	#A58AFF	7.692	37.2571219512195	Afghanistan	Afghanistan	South Asia	3	#A58AFF
2.76242689678664	#C49A00	4.417	68.3258292682927	Albania	Albania	Europe & Central Asia	3	#C49A00
2.82309661075393	#C49A00	2.745	70.527512195122	Armenia	Armenia	Europe & Central Asia	3	#C49A00
3.26347475209652	#FB61D7	7.185	38.979243902439	Angola	Angola	Sub-Saharan Africa	3	#FB61D7
4.50612537966073	#53B400	3.321	68.0030731707317	Argentina	Argentina	Latin America & Caribbean	3	#53B400
3.35028276992299	#C49A00	1.82	71.0841463414634	Austria	Austria	Europe & Central Asia	3	#C49A00
3.82901115667765	#F8766D	2.148	72.6253658536586	Australia	Australia	East Asia & Pacific	3	#F8766D
2.10480325192598	#53B400	2.506	70.7778048780488	Aruba	Aruba	Latin America & Caribbean	3	#53B400
3.16998161211017	#C49A00	3.95	65.1874390243903	Azerbaijan	Azerbaijan	Europe & Central Asia	3	#C49A00
2.97046654534403	#C49A00	2.412	68.6315853658537	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia	3	#C49A00
2.23575421845299	#53B400	2.393	70.3433170731707	Barbados	Barbados	Latin America & Caribbean	3	#53B400
6.1732411761376	#A58AFF	6.831	43.3347804878049	Bangladesh	Bangladesh	South Asia	3	#A58AFF
3.53584815168794	#C49A00	1.736	71.9712195121951	Belgium	Belgium	Europe & Central Asia	3	#C49A00
3.21652029148238	#FB61D7	6.868	43.6348048780488	Burkina Faso	Burkina Faso	Sub-Saharan Africa	3	#FB61D7
3.44862168448475	#C49A00	2.23	71.049756097561	Bulgaria	Bulgaria	Europe & Central Asia	3	#C49A00
2.24626746208997	#00C094	5.556	67.4118780487805	Bahrain	Bahrain	Middle East & North Africa	3	#00C094
2.93952353661452	#FB61D7	6.823	44.822	Burundi	Burundi	Sub-Saharan Africa	3	#FB61D7
2.88481733888948	#FB61D7	6.929	43.0276097560976	Benin	Benin	Sub-Saharan Africa	3	#FB61D7
2.1874075409801	#F8766D	5.365	69.0215853658537	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific	3	#F8766D
3.07039046834843	#53B400	6.183	48.2261707317073	Bolivia	Bolivia	Latin America & Caribbean	3	#53B400
7.10713224087105	#53B400	4.499	60.488512195122	Brazil	Brazil	Latin America & Caribbean	3	#53B400
2.20467766114085	#53B400	3.234	66.7560487804878	Bahamas, The	Bahamas, The	Latin America & Caribbean	3	#53B400
2.28382567576056	#A58AFF	6.692	43.2459756097561	Bhutan	Bhutan	South Asia	3	#A58AFF
2.44124918616821	#FB61D7	6.477	57.5469756097561	Botswana	Botswana	Sub-Saharan Africa	3	#FB61D7
3.50142792197422	#C49A00	2.17	70.8328780487805	Belarus	Belarus	Europe & Central Asia	3	#C49A00
2.16877635311776	#53B400	6.278	68.2665609756098	Belize	Belize	Latin America & Caribbean	3	#53B400
4.36451078241937	#00B6EB	1.824	73.5217073170732	Canada	Canada	North America	3	#00B6EB
4.34882415854158	#FB61D7	6.366	45.1399756097561	Congo, Dem. Rep.	Congo, Dem. Rep.	Sub-Saharan Africa	3	#FB61D7
2.69473278617525	#FB61D7	5.95	45.832756097561	Central African Republic	Central African Republic	Sub-Saharan Africa	3	#FB61D7
2.609042178214	#FB61D7	6.325	54.9791707317073	Congo, Rep.	Congo, Rep.	Sub-Saharan Africa	3	#FB61D7
3.23462351287177	#C49A00	1.598	74.6656097560976	Switzerland	Switzerland	Europe & Central Asia	3	#C49A00
3.26049185200004	#FB61D7	7.917	47.9595609756098	Cote d'Ivoire	Cote d'Ivoire	Sub-Saharan Africa	3	#FB61D7
3.58419151495607	#53B400	3.163	65.4621463414634	Chile	Chile	Latin America & Caribbean	3	#53B400
3.36460374046265	#FB61D7	6.366	48.7498780487805	Cameroon	Cameroon	Sub-Saharan Africa	3	#FB61D7
16.8625074592191	#F8766D	3.783	65.6915609756098	China	China	East Asia & Pacific	3	#F8766D
4.40430411061292	#53B400	4.631	62.7040243902439	Colombia	Colombia	Latin America & Caribbean	3	#53B400
2.70072632635744	#53B400	3.968	69.5594146341464	Costa Rica	Costa Rica	Latin America & Caribbean	3	#53B400
3.50714585811257	#53B400	2.844	71.9519268292683	Cuba	Cuba	Latin America & Caribbean	3	#53B400
